TIME,HR:TT03:TEMPERATURE_OUTSIDE,HR:TT06:TEMPERATURE_LAB_INTAKE,HR:TT01:TEMPERATURE_OUTSIDE_INTAKE,DC01:DAMPER_OUTSIDE_INTAKE,DC02:DAMPER_CROSS,DC03:DAMPER_LAB_INTAKE,HR:TT12:TEMPERATURE_WATERTANK_HEATING_OUT
2021-10-12 14:47:58.880000+02:00,12.944336,22.148438,20.307617,0.0,0.0,0.0,-5.5908203
2021-10-12 14:48:32.915000+02:00,12.944336,22.08496,20.307617,0.0,0.0,0.0,-5.5908203
2021-10-12 14:49:06.951000+02:00,12.944336,22.148438,20.307617,0.0,0.0,0.0,-5.5273438
2021-10-12 14:49:41+02:00,12.817383,22.148438,20.307617,0.0,0.0,0.0,-5.5273438
2021-10-12 14:50:15.041000+02:00,12.817383,22.148438,20.307617,0.0,0.0,0.0,-5.5908203
2021-10-12 14:50:49.081000+02:00,13.0078125,22.148438,20.307617,0.0,0.0,0.0,-5.463867
2021-10-12 14:51:23.123000+02:00,13.071289,22.27539,20.307617,0.0,0.0,0.0,-5.463867
2021-10-12 14:51:57.165000+02:00,13.134766,22.211914,20.371094,0.0,0.0,0.0,-5.463867
2021-10-12 14:52:31.205000+02:00,13.134766,22.27539,20.371094,0.0,0.0,0.0,-5.4003906
2021-10-12 14:53:05.251000+02:00,13.198242,22.338867,20.307617,0.0,0.0,0.0,-5.463867
2021-10-12 14:53:39.285000+02:00,13.134766,22.338867,20.307617,0.0,0.0,0.0,-5.4003906
2021-10-12 14:54:13.319000+02:00,13.0078125,22.338867,20.371094,0.0,0.0,0.0,-5.4003906
2021-10-12 14:54:47.376000+02:00,12.944336,22.402344,20.371094,0.0,0.0,0.0,-5.4003906
2021-10-12 14:55:21.415000+02:00,13.0078125,22.46582,20.307617,0.0,0.0,0.0,-5.463867
2021-10-12 14:55:55.449000+02:00,13.198242,22.46582,20.371094,0.0,0.0,0.0,-5.4003906
2021-10-12 14:56:29.487000+02:00,13.198242,22.402344,20.307617,0.0,0.0,0.0,-5.463867
2021-10-12 14:57:03.518000+02:00,13.134766,22.402344,20.371094,0.0,0.0,0.0,-5.4003906
2021-10-12 14:57:37.558000+02:00,13.515625,22.46582,20.43457,0.0,0.0,0.0,-5.4003906
2021-10-12 14:58:11.632000+02:00,13.642578,22.46582,20.371094,0.0,0.0,0.0,-5.4003906
2021-10-12 14:58:45.656000+02:00,13.833008,22.529297,20.43457,0.0,0.0,0.0,-5.336914
2021-10-12 14:59:19.689000+02:00,13.706055,22.46582,20.43457,0.0,0.0,0.0,-5.4003906
2021-10-12 14:59:53.723000+02:00,13.579102,22.46582,20.371094,0.0,0.0,0.0,-5.4003906
2021-10-12 15:00:27.783000+02:00,13.388672,22.402344,20.43457,0.0,0.0,0.0,-5.4003906
